item_id	item_name	brix	acid	bitter	smell	moisture	elastic
1	日南1号	4	4	2	5	5	4
2	宮川早生	5	3	2	3	6	5
3	南柑20号	5	2	2	3	6	2
4	青島温州	5	2	2	2	5	2
5	甘夏	3	5	5	6	5	2
6	伊予柑	4	4	3	6	5	2
7	河内晩柑	3	4	4	4	5	3
8	清見	5	4	2	5	5	5
9	金柑	5	3	2	6	3	2
10	不知火	5	2	2	6	4	5
11	せとか	5	2	3	6	5	4
12	湘南ゴールド	5	4	3	6	5	2
13	八朔	4	4	5	4	3	4
14	日向夏	4	4	3	4	3	3
15	文旦	4	3	4	5	2	2
16	ポンカン	5	2	3	5	4	5
17	シークワーサー	3	6	2	4	6	3
18	バレンシアオレンジ	6	4	3	6	5	2
19	橙	4	6	5	5	2	2
20	すだち	2	6	2	6	6	2
21	仏手柑	1	5	6	6	1	1
22	夏みかん	2	6	4	5	4	2
23	カラマンダリン	6	2	2	5	4	4
24	セミノール	5	3	2	5	5	4
25	黄金柑	5	2	2	5	4	2
26	南津海	6	3	2	5	4	5
27	ネーブルオレンジ	5	3	3	5	5	4
28	じゃばら	3	6	5	6	5	2
29	レモン	2	6	4	5	6	3
30	三宝柑	3	4	3	5	2	2
31	かぼす	2	6	3	6	6	2
32	はれひめ	4	2	2	5	4	4
33	麗江	6	3	2	5	5	4
34	橘	2	6	3	3	3	3
35	はるみ	6	2	2	5	4	4
36	ゆず	2	5	3	6	5	2
37	津の望	6	3	2	5	5	4
38	ライム	2	5	5	5	6	2
39	フィンガーライム	1	5	4	6	2	6
40	愛媛果試28号	6	2	2	4	5	4
41	甘平	6	2	2	3	4	5
42	あすみ	6	2	2	4	5	5
43	へべす	2	6	2	6	6	3
44	福原オレンジ	5	3	3	5	6	2
45	大紅みかん	4	3	3	3	5	3
46	クレメンティン	5	3	2	5	4	4
47	早香	5	3	2	6	4	5
48	西南のひかり	5	2	2	4	4	4
49	スイートスプリング	4	3	2	3	4	4
50	南香	5	3	2	4	4	4
51	津の輝	5	3	3	3	5	4
52	津の香	5	3	3	3	4	4
53	西の香	5	3	2	3	6	4
54	べにばえ	6	4	2	5	5	4
55	天草	5	3	2	5	6	2
56	マーコット	5	3	2	4	4	3
57	晩白柚	4	2	5	6	3	2
58	ブラッドオレンジ	5	3	4	5	5	2
59	みはや	5	2	2	3	6	3
60	ルビーグレープフルーツ	3	2	3	4	5	3
61	ホワイトグレープフルーツ	3	4	5	4	5	3
62	ジャクソンフルーツ	4	2	2	4	5	4
63	小夏	3	4	3	5	3	3