user_id	item_id	item_name	brix	acid	bitter	smell	moisture	elastic	total
1	55	天草	4	3	5	5	4	3	3
1	2	温州みかん（早生）	3	3	4	3	3	3	2
1	59	みはや	2	3	5	4	4	2	3
1	13	八朔	4	4	3	4	4	3	4
1	9	金柑	2	3	2	3	2	2	2
1	40	紅まどんな	5	4	5	5	4	3	5
2	55	天草	4	4	4	4	5	4	4
2	2	温州みかん（早生）	4	4	4	3	4	3	4
2	59	みはや	4	4	4	3	4	2	3
2	13	八朔	2	2	2	2	5	4	3
2	9	金柑	3	4	3	3	4	3	3
2	40	紅まどんな	5	4	5	4	5	4	4
3	55	天草	6	4	5	6	6	6	6
3	2	温州みかん（早生）	6	6	6	4	5	5	6
3	59	みはや	6	4	6	5	5	4	5
3	13	八朔	4	5	4	3	3	4	4
3	9	金柑	4	3	3	5	3	3	3
3	40	紅まどんな	5	6	5	4	6	4	5
3	23	マンダリン	5	5	5	6	3	2	5
3	62	ジャクソンフルーツ	4	5	2	5	4	5	4
3	27	ネーブルオレンジ	5	5	5	4	5	5	5
3	60	ルビーグレープフルーツ	4	4	4	4	6	5	4
3	63	小夏	4	5	3	5	3	4	4
3	29	マイヤーレモン	3	1	3	4	3	4	3
3	61	ホワイトグレープフルーツ	4	6	6	5	6	6	6
3	56	マーコット	6	6	6	5	4	6	6
4	55	天草	3	4	4	3	4	4	4
4	2	温州みかん（早生）	5	3	2	3	5	4	4
4	59	みはや	5	4	2	3	4	5	4
4	13	八朔	2	3	3	3	2	4	3
4	9	金柑	2	2	3	2	1	1	2
4	40	紅まどんな	4	3	2	3	4	4	4
5	55	天草	6	5	5	6	5	5	5
5	2	温州みかん（早生）	6	6	6	4	5	5	6
5	59	みはや	4	4	4	5	5	5	5
5	13	八朔	1	3	1	2	2	3	1
5	9	金柑	3	3	3	6	2	2	3
5	40	紅まどんな	2	3	4	3	2	2	2
6	55	天草	6	6	5	5	5	5	5
6	2	温州みかん（早生）	5	4	5	4	4	5	4
6	59	みはや	3	3	5	4	3	3	3
6	13	八朔	3	3	4	4	3	3	3
6	9	金柑	2	2	3	2	2	3	2
6	40	紅まどんな	4	4	5	5	5	4	4
6	60	ルビーグレープフルーツ	4	5	4	2	4	2	4
6	63	小夏	6	6	6	5	3	2	5
6	23	マンダリン	6	5	5	5	5	4	5
6	62	ジャクソンフルーツ	6	5	4	6	5	5	5
6	56	マーコット	5	5	4	5	2	2	4
6	27	ネーブルオレンジ	6	6	5	6	5	4	5
6	29	マイヤーレモン	3	2	2	4	5	3	3
6	61	ホワイトグレープフルーツ	6	5	2	4	6	6	4
7	55	天草	6	5	5	5	6	5	6
7	2	温州みかん（早生）	5	4	4	4	4	4	5
7	59	みはや	4	3	3	4	4	4	4
7	13	八朔	2	2	3	3	3	4	2
7	9	金柑	2	2	2	3	1	1	1
7	40	紅まどんな	3	3	3	3	4	3	3
8	55	天草	4	5	5	5	6	6	5
8	2	温州みかん（早生）	6	6	6	5	6	6	6
8	59	みはや	5	6	4	5	6	6	5
8	13	八朔	4	5	5	3	3	3	4
8	9	金柑	2	3	3	2	2	2	2
8	40	紅まどんな	5	6	5	5	6	6	5
8	56	マーコット	5	3	5	5	4	3	5
8	29	マイヤーレモン	2	2	3	2	5	5	2
8	63	小夏	4	5	4	4	5	5	4
8	60	ルビーグレープフルーツ	4	4	5	4	5	5	4
8	62	ジャクソンフルーツ	2	4	3	3	3	4	3
8	23	マンダリン	6	3	3	3	4	3	4
8	61	ホワイトグレープフルーツ	2	4	4	4	3	3	3
8	27	ネーブルオレンジ	5	5	5	4	4	4	4
9	55	天草	5	5	6	4	6	6	5
9	2	温州みかん（早生）	6	5	6	4	6	6	5
9	59	みはや	6	5	6	4	6	6	6
9	13	八朔	6	5	4	4	6	6	5
9	9	金柑	4	5	6	4	3	2	3
9	40	紅まどんな	5	5	6	4	6	6	5
10	55	天草	4	4	4	4	6	5	5
10	2	温州みかん（早生）	3	2	1	3	5	5	3
10	59	みはや	2	1	1	2	3	1	2
10	13	八朔	4	5	5	4	6	6	5
10	9	金柑	3	2	3	6	3	6	4
10	40	紅まどんな	4	2	1	3	5	3	3
11	55	天草	3	5	5	4	3	3	4
11	2	温州みかん（早生）	4	5	5	4	5	5	5
11	59	みはや	2	4	4	3	3	2	3
11	13	八朔	3	4	4	5	5	5	6
11	9	金柑	2	2	1	3	2	4	2
11	40	紅まどんな	5	5	5	5	3	3	5
12	55	天草	6	6	5	5	6	6	6
12	2	温州みかん（早生）	6	5	4	4	5	5	5
12	59	みはや	6	6	5	5	6	5	6
12	13	八朔	3	3	2	3	5	5	4
12	9	金柑	5	4	6	4	3	6	5
12	40	紅まどんな	6	5	4	4	6	4	5
13	55	天草	4	4	5	2	6	4	5
13	2	温州みかん（早生）	5	6	4	3	6	5	6
13	59	みはや	4	3	4	4	6	1	5
13	13	八朔	2	5	4	3	4	6	3
13	9	金柑	1	4	5	3	2	3	4
13	40	紅まどんな	5	3	4	3	6	5	6
14	29	マイヤーレモン	1	2	4	4	2	2	2
14	61	ホワイトグレープフルーツ	5	3	5	4	5	4	4
14	63	小夏	5	4	3	3	4	3	5
14	56	マーコット	5	3	3	2	3	2	2
14	23	マンダリン	5	3	3	3	2	2	4
14	60	ルビーグレープフルーツ	4	3	4	4	4	3	4
14	62	ジャクソンフルーツ	5	4	3	4	4	5	5
14	27	ネーブルオレンジ	5	5	4	4	4	4	5